"","Subset","Host community","I don't know","IDPs","Migrants","Mixed (host community/IDPs/migrants/refugees)","Refugees"
"1","Abyan","12% ","29% ","19% ","12% ","15% ","12% "
"2","Aden","21% ","23% ","17% ","15% ","10% ","15% "
"3","Al Bayda","18% ","18% ","15% ","13% ","13% ","23% "
"4","Al Dhale'e","17% ","31% ","17% ","10% ","12% ","14% "
"5","Al Hudaydah","12% ","14% ","24% ","8% ","22% ","22% "
"6","Al Jawf","7% ","19% ","19% ","14% ","26% ","14% "
"7","Al Maharah","21% ","23% ","21% ","9% ","19% ","7% "
"8","Al Mahwit","13% ","21% ","21% ","13% ","13% ","21% "
"9","Amanat Al Asimah","7% ","15% ","20% ","17% ","17% ","24% "
"10","Amran","19% ","19% ","14% ","11% ","26% ","11% "
"11","Dhamar","9% ","17% ","23% ","21% ","19% ","11% "
"12","Hadramaut","12% ","7% ","14% ","19% ","21% ","26% "
"13","Hajjah","16% ","20% ","9% ","18% ","18% ","20% "
"14","Ibb","12% ","25% ","15% ","18% ","20% ","10% "
"15","Lahj","26% ","17% ","17% ","17% ","6% ","17% "
"16","Marib","17% ","17% ","15% ","21% ","11% ","19% "
"17","Raymah","19% ","15% ","19% ","21% ","10% ","17% "
"18","Sa'ada","7% ","14% ","20% ","16% ","23% ","20% "
"19","Sana'a","13% ","23% ","19% ","23% ","6% ","15% "
"20","Shabwah","15% ","17% ","24% ","17% ","13% ","13% "
"21","Socotra","32% ","16% ","16% ","5% ","14% ","18% "
"22","Taizz","20% ","15% ","22% ","28% ","6% ","9% "
