"","Average","Subset"
"1","19.35 ","Ibb"
"2","19.69 ","Hajjah"
"3","19.66 ","Al Jawf"
"4","19.96 ","Lahj"
"5","20.53 ","Al Maharah"
"6","20.18 ","Al Hudaydah"
"7","19.56 ","Amanat Al Asimah"
"8","20.11 ","Al Mahwit"
"9","20.23 ","Marib"
"10","19.96 ","Al Bayda"
"11","20.1 ","Aden"
"12","19.89 ","Sana'a"
"13","19.92 ","Amran"
"14","20.19 ","Taizz"
"15","20.43 ","Raymah"
"16","19.64 ","Shabwah"
"17","20.31 ","Dhamar"
"18","19.6 ","Socotra"
"19","20.79 ","Hadramaut"
"20","20.05 ","Al Dhale'e"
"21","19.82 ","Abyan"
"22","20 ","Sa'ada"
