"","Subset","Peri-Urban","Rural","Urban"
"1","Abyan","35% ","35% ","29% "
"2","Aden","32% ","35% ","32% "
"3","Al Bayda","50% ","21% ","29% "
"4","Al Dhale'e","25% ","48% ","28% "
"5","Al Hudaydah","28% ","26% ","46% "
"6","Al Jawf","46% ","26% ","28% "
"7","Al Maharah","39% ","26% ","34% "
"8","Al Mahwit","32% ","32% ","36% "
"9","Amanat Al Asimah","42% ","31% ","27% "
"10","Amran","41% ","27% ","31% "
"11","Dhamar","44% ","27% ","29% "
"12","Hadramaut","35% ","35% ","29% "
"13","Hajjah","27% ","39% ","35% "
"14","Ibb","26% ","39% ","35% "
"15","Lahj","27% ","40% ","33% "
"16","Marib","38% ","26% ","36% "
"17","Raymah","22% ","49% ","29% "
"18","Sa'ada","31% ","31% ","37% "
"19","Sana'a","47% ","22% ","31% "
"20","Shabwah","24% ","45% ","30% "
"21","Socotra","38% ","43% ","20% "
"22","Taizz","33% ","33% ","33% "
