"","Average","Subset"
"1","19.8 ","Ibb"
"2","19.78 ","Hajjah"
"3","19.86 ","Al Jawf"
"4","19.87 ","Lahj"
"5","19.79 ","Al Maharah"
"6","20.62 ","Al Hudaydah"
"7","20.38 ","Amanat Al Asimah"
"8","20.13 ","Al Mahwit"
"9","19.77 ","Marib"
"10","19.88 ","Al Bayda"
"11","19.57 ","Aden"
"12","20.27 ","Sana'a"
"13","20.53 ","Amran"
"14","20.4 ","Taizz"
"15","19.76 ","Raymah"
"16","20.27 ","Shabwah"
"17","20.08 ","Dhamar"
"18","19.88 ","Socotra"
"19","19.62 ","Hadramaut"
"20","20.2 ","Al Dhale'e"
"21","20.12 ","Abyan"
"22","20.22 ","Sa'ada"
