"","Subset","I don't know","No","Refuse to answer (DO NOT READ)","Yes"
"1","Abyan","27% ","31% ","25% ","17% "
"2","Aden","27% ","27% ","23% ","23% "
"3","Al Bayda","26% ","23% ","26% ","26% "
"4","Al Dhale'e","19% ","24% ","26% ","31% "
"5","Al Hudaydah","20% ","18% ","33% ","29% "
"6","Al Jawf","33% ","19% ","21% ","26% "
"7","Al Maharah","30% ","35% ","14% ","21% "
"8","Al Mahwit","28% ","21% ","15% ","36% "
"9","Amanat Al Asimah","29% ","20% ","24% ","27% "
"10","Amran","37% ","16% ","21% ","26% "
"11","Dhamar","17% ","26% ","32% ","26% "
"12","Hadramaut","21% ","19% ","33% ","26% "
"13","Hajjah","23% ","21% ","25% ","30% "
"14","Ibb","15% ","22% ","28% ","35% "
"15","Lahj","23% ","29% ","23% ","26% "
"16","Marib","32% ","28% ","26% ","15% "
"17","Raymah","23% ","38% ","19% ","21% "
"18","Sa'ada","20% ","41% ","27% ","11% "
"19","Sana'a","28% ","23% ","28% ","21% "
"20","Shabwah","20% ","28% ","24% ","28% "
"21","Socotra","25% ","36% ","20% ","18% "
"22","Taizz","20% ","30% ","28% ","22% "
