"","Subset","Government","I don't know","International NGO","Local NGO","Other (please specify):","Private","Refuse to answer (DO NOT READ)","United Nations"
"1","Abyan","10% ","20% ","14% ","14% ","12% ","10% ","12% ","10% "
"2","Aden","22% ","10% ","10% ","15% ","12% ","5% ","15% ","10% "
"3","Al Bayda","21% ","6% ","15% ","10% ","12% ","10% ","8% ","17% "
"4","Al Dhale'e","22% ","8% ","12% ","2% ","10% ","10% ","15% ","20% "
"5","Al Hudaydah","21% ","3% ","13% ","5% ","13% ","18% ","10% ","18% "
"6","Al Jawf","16% ","6% ","8% ","18% ","8% ","20% ","4% ","20% "
"7","Al Maharah","11% ","3% ","11% ","16% ","8% ","13% ","24% ","16% "
"8","Al Mahwit","19% ","15% ","13% ","9% ","17% ","11% ","11% ","6% "
"9","Amanat Al Asimah","5% ","13% ","15% ","13% ","11% ","16% ","13% ","15% "
"10","Amran","10% ","16% ","12% ","12% ","12% ","18% ","14% ","8% "
"11","Dhamar","12% ","19% ","12% ","12% ","6% ","10% ","15% ","12% "
"12","Hadramaut","17% ","15% ","17% ","12% ","4% ","6% ","10% ","19% "
"13","Hajjah","14% ","14% ","14% ","16% ","2% ","6% ","22% ","10% "
"14","Ibb","15% ","13% ","15% ","7% ","13% ","15% ","13% ","9% "
"15","Lahj","20% ","4% ","9% ","13% ","13% ","16% ","16% ","9% "
"16","Marib","18% ","18% ","10% ","13% ","13% ","5% ","18% ","5% "
"17","Raymah","10% ","4% ","14% ","16% ","16% ","18% ","8% ","12% "
"18","Sa'ada","10% ","12% ","8% ","6% ","22% ","8% ","14% ","22% "
"19","Sana'a","16% ","4% ","22% ","9% ","11% ","13% ","9% ","16% "
"20","Shabwah","12% ","9% ","9% ","24% ","15% ","15% ","15% ",NA
"21","Socotra","5% ","18% ","10% ","12% ","15% ","18% ","18% ","5% "
"22","Taizz","10% ","15% ","6% ","8% ","8% ","10% ","17% ","25% "
